HI91,pc_counter,sys_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,roll,pitch,imu_yaw
HI91,1,0,0.000,0,1,0.00,0,0,20,0,40,0,0,0.0
HI91,2,1000,0.001,0,1,0.01,0,0,20,0,40,0,0,0.1
HI91,3,2000,0.002,0,1,0.02,0,0,20,0,40,0,0,0.2
HI91,4,3000,0.003,0,1,0.03,0,0,20,0,40,0,0,0.3
HI91,5,4000,0.004,0,1,0.04,0,0,20,0,40,0,0,0.4
HI91,6,5000,0.005,0,1,0.05,0,0,20,0,40,0,0,0.5
HI91,7,6000,0.006,0,1,0.06,0,0,20,0,40,0,0,0.6
HI91,8,7000,0.007,0,1,0.07,0,0,20,0,40,0,0,0.7
HI91,9,8000,0.008,0,1,0.08,0,0,20,0,40,0,0,0.8
HI91,10,9000,0.009,0,1,0.09,0,0,20,0,40,0,0,0.9
HI91,11,10000,0.010,0,1,0.10,0,0,20,0,40,0,0,1.0
HI91,12,11000,0.011,0,1,0.11,0,0,20,0,40,0,0,1.1
HI91,13,12000,0.012,0,1,0.12,0,0,20,0,40,0,0,1.2
HI91,14,13000,0.013,0,1,0.13,0,0,20,0,40,0,0,1.3
HI91,15,14000,0.014,0,1,0.14,0,0,20,0,40,0,0,1.4
HI91,16,15000,0.015,0,1,0.15,0,0,20,0,40,0,0,1.5
HI91,17,16000,0.016,0,1,0.16,0,0,20,0,40,0,0,1.6
HI91,18,17000,0.017,0,1,0.17,0,0,20,0,40,0,0,1.7
HI91,19,18000,0.018,0,1,0.18,0,0,20,0,40,0,0,1.8
HI91,20,19000,0.019,0,1,0.19,0,0,20,0,40,0,0,1.9
HI91,21,20000,0.020,0,1,0.20,0,0,20,0,40,0,0,2.0
HI91,22,21000,0.021,0,1,0.21,0,0,20,0,40,0,0,2.1
HI91,23,22000,0.022,0,1,0.22,0,0,20,0,40,0,0,2.2
HI91,24,23000,0.023,0,1,0.23,0,0,20,0,40,0,0,2.3
HI91,25,24000,0.024,0,1,0.24,0,0,20,0,40,0,0,2.4
HI91,26,25000,0.025,0,1,0.25,0,0,20,0,40,0,0,2.5
HI91,27,26000,0.026,0,1,0.26,0,0,20,0,40,0,0,2.6
HI91,28,27000,0.027,0,1,0.27,0,0,20,0,40,0,0,2.7
HI91,29,28000,0.028,0,1,0.28,0,0,20,0,40,0,0,2.8
HI91,30,29000,0.029,0,1,0.29,0,0,20,0,40,0,0,2.9
HI91,31,30000,0.030,0,1,0.30,0,0,20,0,40,0,0,3.0
